machine_id_enc,process_seq,product_type_enc,material_type_enc,quantity,operator_experience,shift_num,historical_machine_utilization,historical_cycle_time,setup_time,previous_downtime,worker_skill,machine_age,batch_size,actual_processing_time
7,4,8,5,150,2.3,3,45.5,55.0,25.0,0.6,2,5.4,150,140.6
14,2,5,1,100,7.5,1,63.8,45.0,20.0,1.4,2,2.7,100,61.1
15,3,7,4,25,1.0,3,77.4,45.0,20.0,0.0,5,4.7,25,34.8
2,4,7,4,150,10.1,3,90.0,60.0,15.0,1.6,3,4.4,150,124.3
10,4,6,5,50,9.4,2,61.7,60.0,15.0,1.9,3,4.8,50,73.0
5,5,2,5,50,11.6,1,47.8,75.0,10.0,0.1,5,6.3,50,78.8
12,3,3,1,75,9.6,3,44.1,75.0,15.0,0.2,4,5.2,75,77.6
7,5,3,4,75,7.0,3,46.6,70.0,20.0,2.1,3,6.3,75,102.6
7,3,9,2,50,5.6,3,41.7,75.0,10.0,0.6,3,7.3,50,77.3
11,5,4,5,75,8.5,2,74.3,70.0,10.0,0.2,3,2.1,75,98.5
4,3,10,4,25,4.2,1,55.0,55.0,15.0,0.0,3,2.8,25,44.6
14,5,1,3,50,4.4,3,49.3,45.0,25.0,0.7,5,7.7,50,44.1
14,2,3,1,150,3.8,1,54.7,50.0,15.0,0.8,1,3.1,150,98.3
5,4,10,4,75,4.8,1,80.1,65.0,25.0,6.1,3,6.6,75,101.8
1,1,6,5,75,7.3,3,52.1,50.0,20.0,2.5,3,1.2,75,73.2
7,2,8,1,75,4.4,1,51.5,75.0,15.0,1.8,2,1.8,75,92.1
9,4,1,2,25,1.6,1,89.5,55.0,20.0,0.6,3,5.9,25,43.6
11,1,8,4,100,7.2,2,91.7,45.0,10.0,0.5,3,4.1,100,81.1
3,5,9,4,25,0.7,2,57.9,60.0,25.0,1.6,4,5.4,25,47.7
3,5,3,3,75,9.6,2,75.5,75.0,25.0,3.0,2,4.2,75,101.7
4,3,1,1,100,11.3,1,55.4,70.0,20.0,2.1,5,3.0,100,81.8
12,1,4,5,150,2.7,1,57.4,50.0,10.0,0.8,4,7.5,150,122.4
14,2,6,2,75,3.9,2,80.7,45.0,10.0,1.8,3,2.7,75,58.7
9,5,10,1,100,9.7,1,43.9,70.0,25.0,0.1,4,0.7,100,82.2
2,2,7,3,25,2.3,2,55.8,50.0,15.0,0.0,1,6.7,25,41.7
1,5,5,4,150,2.7,2,69.7,75.0,25.0,1.9,5,4.4,150,151.6
14,3,1,3,100,9.1,2,41.4,65.0,15.0,2.7,3,3.6,100,97.0
2,1,8,5,150,7.8,1,80.6,75.0,10.0,1.4,3,2.4,150,162.3
3,5,6,1,150,1.8,1,45.2,70.0,15.0,5.8,2,0.6,150,128.5
4,1,5,2,50,11.4,2,54.3,50.0,15.0,4.1,3,4.5,50,47.9
13,4,8,2,25,10.5,3,84.1,60.0,15.0,1.3,2,6.6,25,43.3
1,1,8,2,75,2.8,1,51.8,70.0,15.0,0.1,3,3.0,75,93.7
10,5,10,2,50,4.4,3,55.5,60.0,15.0,1.8,3,7.1,50,65.9
9,4,10,5,25,7.0,3,94.5,60.0,15.0,0.4,3,7.0,25,55.8
5,4,1,5,25,3.2,2,89.6,70.0,25.0,2.6,3,7.2,25,66.7
4,3,10,5,150,3.9,1,70.5,65.0,25.0,4.4,4,1.4,150,140.3
5,2,10,2,150,9.0,1,59.3,50.0,20.0,0.2,4,5.1,150,83.2
2,3,10,2,150,6.4,2,94.3,65.0,10.0,3.2,2,7.3,150,134.9
13,4,4,4,75,9.4,2,78.8,50.0,15.0,0.6,3,2.4,75,71.2
4,4,8,5,25,9.1,3,72.1,70.0,10.0,0.7,2,7.0,25,57.0
6,5,6,2,100,11.7,1,42.4,65.0,25.0,1.1,5,1.1,100,75.7
2,1,1,1,150,8.5,3,89.6,45.0,20.0,0.5,5,7.2,150,70.8
12,4,5,2,100,7.9,2,52.6,60.0,25.0,0.7,2,3.9,100,94.2
13,5,3,5,50,5.3,1,73.7,50.0,15.0,4.0,4,0.8,50,53.6
7,1,6,1,50,11.9,1,60.7,50.0,20.0,0.7,4,4.8,50,40.8
5,5,6,3,150,7.2,1,92.0,50.0,20.0,0.4,3,1.5,150,96.7
3,5,4,1,25,9.2,2,59.7,75.0,15.0,1.0,3,6.7,25,48.9
12,5,9,1,150,7.6,2,84.3,75.0,15.0,1.4,5,5.1,150,112.9
2,3,3,2,100,6.8,1,83.1,60.0,15.0,1.5,4,7.6,100,83.0
8,5,2,5,50,4.3,3,71.9,55.0,20.0,1.2,3,4.9,50,70.7
11,4,8,4,25,10.8,3,68.3,50.0,10.0,0.3,1,1.8,25,37.8
5,1,5,1,100,2.9,2,47.1,50.0,10.0,0.6,1,4.1,100,76.1
6,3,1,2,100,9.8,1,72.9,60.0,20.0,1.2,5,2.3,100,73.0
2,5,10,3,75,8.7,3,86.4,55.0,20.0,0.0,4,3.2,75,72.4
3,1,7,5,100,0.7,1,86.2,70.0,15.0,1.1,2,3.1,100,139.5
9,5,2,4,50,6.9,1,71.0,50.0,10.0,0.6,4,5.1,50,54.3
11,3,6,5,25,3.2,2,52.4,70.0,20.0,1.0,4,1.2,25,59.0
15,1,8,3,25,8.8,3,71.4,55.0,10.0,2.2,2,2.9,25,40.8
3,4,1,4,25,6.6,1,73.6,70.0,10.0,1.1,5,2.9,25,44.5
8,2,5,2,100,2.8,2,44.8,75.0,10.0,0.0,2,4.0,100,124.0
6,3,1,5,100,11.6,2,91.3,55.0,10.0,0.3,3,7.4,100,100.7
5,4,3,5,150,9.9,3,74.9,70.0,25.0,0.6,3,5.6,150,154.3
8,3,6,1,25,3.2,1,61.5,50.0,15.0,0.1,2,4.6,25,30.0
3,2,4,5,25,6.6,3,71.5,65.0,15.0,2.1,4,6.3,25,51.6
1,4,6,2,50,6.2,2,58.8,70.0,10.0,0.2,4,1.5,50,67.6
5,5,4,4,150,8.8,3,72.9,60.0,25.0,1.9,3,6.7,150,125.4
14,2,8,2,75,2.3,1,47.7,50.0,10.0,0.4,4,4.9,75,66.7
15,2,9,3,150,1.7,1,90.9,75.0,10.0,0.2,5,6.8,150,154.9
6,1,1,3,150,4.9,1,58.4,60.0,10.0,0.0,3,3.5,150,122.2
2,2,2,3,25,7.3,3,64.9,55.0,15.0,0.3,3,3.6,25,39.9
8,1,1,5,75,7.8,2,76.5,75.0,10.0,4.9,2,3.6,75,125.1
13,3,8,3,150,7.7,1,66.0,55.0,15.0,0.5,4,4.5,150,101.6
6,4,1,2,75,2.3,1,58.4,75.0,20.0,2.1,2,7.2,75,111.0
7,4,2,5,25,6.8,3,52.7,55.0,20.0,0.0,2,6.5,25,50.2
3,3,1,4,50,9.8,2,73.2,70.0,20.0,4.9,5,1.6,50,62.1
2,2,7,1,150,0.8,1,88.2,65.0,25.0,1.8,5,5.2,150,109.4
11,2,2,3,100,10.1,1,62.5,70.0,10.0,0.9,2,7.6,100,113.2
10,3,7,1,50,0.8,2,80.8,50.0,10.0,0.8,2,5.3,50,53.9
14,4,10,2,150,2.5,3,77.6,70.0,15.0,1.1,4,4.2,150,128.7
6,2,7,5,50,2.1,3,89.5,70.0,20.0,1.4,3,5.5,50,94.5
7,2,1,2,150,4.9,2,63.2,50.0,25.0,4.8,2,1.2,150,94.2
4,1,7,3,50,5.1,2,47.4,45.0,15.0,0.0,2,5.0,50,55.4
11,1,2,1,50,6.0,1,44.1,45.0,10.0,1.0,3,3.8,50,43.2
5,4,3,2,100,4.7,3,90.5,65.0,10.0,4.5,3,1.9,100,96.5
14,3,8,5,25,8.1,2,75.0,45.0,15.0,1.0,2,7.9,25,41.8
7,2,5,2,150,8.9,3,90.8,50.0,20.0,4.3,3,7.0,150,94.6
7,3,2,3,50,7.9,2,72.8,55.0,25.0,0.2,1,5.7,50,68.2
12,1,4,5,25,9.0,1,88.7,50.0,25.0,0.4,1,7.0,25,45.2
14,3,7,5,150,4.9,3,43.9,70.0,25.0,0.1,1,0.8,150,178.2
12,1,10,1,100,9.0,2,40.2,65.0,15.0,0.5,4,5.9,100,79.9
5,1,1,5,25,1.8,1,77.4,60.0,20.0,4.5,4,1.2,25,52.4
14,3,2,1,100,1.2,1,75.7,65.0,20.0,1.1,2,1.8,100,95.7
10,1,1,2,75,10.0,1,43.2,75.0,20.0,3.2,5,8.0,75,82.6
2,2,1,3,75,3.1,1,69.5,45.0,25.0,1.3,1,7.1,75,69.0
3,3,9,3,25,10.3,2,84.5,45.0,10.0,2.0,2,2.4,25,32.7
5,4,5,5,25,1.2,1,66.4,65.0,20.0,2.6,3,5.6,25,58.7
11,5,1,3,100,10.3,3,48.8,65.0,20.0,0.4,5,1.3,100,80.5
5,3,10,1,75,10.6,2,47.1,55.0,10.0,2.0,2,6.6,75,65.7
14,5,7,2,150,7.6,1,70.8,75.0,15.0,1.5,3,6.3,150,138.8
10,1,2,4,100,2.6,1,45.6,60.0,25.0,1.7,1,2.8,100,115.1
1,4,6,1,50,5.9,2,74.2,55.0,15.0,3.1,5,7.8,50,46.7
13,4,7,5,75,9.9,3,66.9,55.0,20.0,1.7,3,2.6,75,80.0
13,4,1,3,150,10.3,3,83.7,65.0,20.0,0.4,1,5.6,150,134.1
1,4,8,4,150,11.4,1,75.1,70.0,20.0,0.5,5,3.6,150,123.6
12,2,3,1,25,8.7,2,87.5,55.0,25.0,0.3,2,1.2,25,34.2
2,4,7,3,150,2.0,1,90.2,50.0,20.0,0.3,3,0.5,150,100.9
7,1,4,4,25,2.8,1,48.8,70.0,15.0,0.6,3,3.7,25,63.0
2,3,9,1,100,9.5,3,66.4,45.0,10.0,0.2,3,0.6,100,54.2
6,4,4,1,50,9.4,2,58.0,50.0,10.0,0.1,3,0.7,50,41.5
2,2,10,2,50,1.0,1,92.3,65.0,20.0,3.4,3,5.1,50,71.5
15,1,2,4,50,7.7,2,73.7,75.0,20.0,1.6,3,5.0,50,85.8
15,1,10,3,50,1.2,3,75.8,45.0,10.0,1.4,3,4.0,50,56.0
13,5,7,5,75,2.4,2,79.6,70.0,10.0,8.4,5,5.4,75,107.2
13,1,7,4,25,10.5,3,62.9,60.0,10.0,0.6,3,7.9,25,44.1
8,2,1,3,25,5.5,1,61.8,60.0,15.0,1.4,4,5.4,25,40.1
2,5,1,3,50,8.7,2,49.9,60.0,15.0,5.3,2,6.9,50,64.0
13,1,6,4,150,5.6,3,59.8,50.0,20.0,0.3,3,7.8,150,113.9
15,1,8,4,100,11.7,3,52.9,50.0,20.0,0.9,3,3.9,100,74.7
12,1,1,5,100,7.3,1,53.9,70.0,25.0,0.7,3,3.2,100,127.5
8,4,8,4,100,6.7,2,94.3,45.0,20.0,0.4,1,5.3,100,88.4
3,5,5,3,150,1.7,3,42.3,50.0,25.0,6.5,5,0.5,150,91.8
9,3,2,4,100,1.9,2,56.9,50.0,15.0,2.0,2,1.9,100,93.6
7,5,6,5,50,8.1,3,92.0,50.0,15.0,1.0,3,7.0,50,63.6
8,1,4,1,25,3.0,2,61.7,65.0,10.0,0.2,3,8.0,25,44.9
6,1,1,1,25,10.5,1,45.0,75.0,10.0,0.2,3,6.2,25,45.1
2,2,9,3,150,9.9,2,69.9,45.0,10.0,0.6,3,3.5,150,85.4
5,3,9,1,25,6.8,3,52.5,50.0,20.0,1.4,3,5.1,25,25.9
10,2,6,4,150,9.9,1,60.9,50.0,25.0,1.3,3,5.1,150,99.9
7,2,5,3,150,10.8,1,76.0,55.0,20.0,0.3,3,2.0,150,99.6
5,4,3,2,100,8.8,2,55.0,60.0,15.0,0.2,2,5.6,100,87.7
10,5,7,1,50,2.6,2,84.3,45.0,25.0,0.1,3,7.6,50,49.0
6,4,9,2,25,7.9,2,59.8,50.0,25.0,2.2,3,2.4,25,33.6
4,2,8,3,100,5.4,2,84.5,55.0,25.0,0.2,3,1.6,100,87.9
1,5,1,5,75,7.5,3,52.8,70.0,10.0,1.4,3,7.9,75,110.5
3,5,2,3,50,5.4,3,79.8,55.0,20.0,0.6,4,5.0,50,59.6
13,4,8,5,25,7.4,1,57.8,55.0,15.0,0.7,1,4.4,25,49.9
2,4,5,4,75,7.9,2,72.6,55.0,15.0,0.4,3,1.9,75,75.3
6,1,3,2,100,1.2,2,92.7,65.0,10.0,1.8,2,4.5,100,109.9
14,1,7,4,25,4.0,3,91.0,65.0,20.0,0.8,2,7.9,25,60.1
9,5,4,2,25,7.5,2,48.8,65.0,15.0,0.2,2,3.1,25,47.2
9,5,2,3,25,6.9,3,85.4,70.0,20.0,4.3,4,1.7,25,48.8
12,5,4,2,100,11.2,2,69.7,65.0,20.0,1.7,3,5.9,100,93.7
3,4,9,5,75,2.5,2,52.3,70.0,25.0,1.3,5,4.8,75,99.8
15,1,6,5,100,6.3,1,85.4,65.0,10.0,0.2,3,4.3,100,119.6
15,4,4,2,150,1.7,2,40.0,55.0,15.0,1.4,3,3.4,150,103.4
9,2,2,5,25,5.4,1,47.8,45.0,25.0,0.5,2,5.7,25,41.9
12,1,4,4,25,3.2,1,74.3,60.0,15.0,0.8,2,7.1,25,50.4
7,3,6,5,150,9.3,2,53.7,70.0,20.0,0.8,4,4.9,150,144.7
7,2,8,5,25,4.2,2,53.3,65.0,10.0,2.4,5,4.2,25,51.6
15,5,4,5,50,2.0,2,57.9,60.0,15.0,1.0,3,3.5,50,76.2
6,2,5,2,150,2.0,1,76.2,45.0,10.0,2.5,1,2.6,150,94.2
8,5,7,2,75,5.7,1,73.8,60.0,20.0,1.1,2,6.0,75,81.5
1,5,8,5,25,9.1,1,44.0,55.0,25.0,0.1,3,3.4,25,44.8
4,3,7,3,100,4.6,2,45.4,70.0,15.0,2.2,2,0.7,100,114.4
12,1,8,1,25,4.9,2,40.6,60.0,15.0,0.5,1,7.7,25,46.3
10,5,4,4,75,11.8,2,66.7,75.0,25.0,2.5,3,1.5,75,96.2
15,1,8,2,25,4.8,3,70.3,50.0,10.0,0.3,2,7.5,25,37.9
1,5,3,2,25,3.5,3,53.9,65.0,15.0,0.9,4,6.0,25,50.1
7,4,6,3,25,11.3,1,80.0,50.0,10.0,1.7,1,7.7,25,36.4
12,5,6,3,150,7.3,3,56.4,55.0,20.0,1.8,4,5.3,150,103.1
5,2,10,1,100,8.9,1,55.3,55.0,25.0,3.2,3,2.8,100,71.9
11,3,2,1,150,6.7,2,86.6,50.0,15.0,2.7,1,6.1,150,97.2
5,1,4,3,75,10.2,2,88.2,65.0,15.0,0.7,3,5.9,75,87.2
5,5,6,5,50,7.6,1,61.3,45.0,20.0,3.1,3,5.9,50,58.2
5,2,7,4,100,1.1,2,73.0,55.0,20.0,0.0,3,5.3,100,103.1
12,2,6,5,100,6.4,1,48.1,75.0,10.0,0.9,1,2.2,100,144.4
11,4,9,4,150,2.5,2,75.0,75.0,20.0,1.7,5,6.1,150,156.9
10,2,3,5,75,0.8,2,72.3,70.0,10.0,4.0,4,0.9,75,104.4
3,2,3,5,150,5.8,1,63.9,65.0,25.0,0.2,1,6.0,150,159.5
9,4,6,1,100,2.0,1,81.3,45.0,25.0,0.0,2,0.8,100,65.0
6,4,7,3,100,9.6,2,55.0,70.0,20.0,0.9,4,1.0,100,94.2
4,2,10,3,25,4.5,2,62.6,75.0,15.0,3.5,1,5.5,25,63.2
4,5,10,2,100,9.6,2,80.2,50.0,10.0,0.4,3,2.0,100,64.4
9,5,9,5,25,0.8,1,52.4,50.0,10.0,2.9,3,4.4,25,52.0
13,5,2,4,50,6.7,3,78.9,45.0,15.0,0.1,3,4.1,50,53.0
2,3,7,4,100,4.6,3,42.9,75.0,10.0,0.3,2,1.7,100,135.5
15,4,4,5,100,10.5,3,92.1,50.0,25.0,2.2,1,1.0,100,96.2
1,2,4,3,100,5.7,3,60.9,55.0,10.0,5.0,2,4.4,100,92.2
8,4,9,4,150,7.8,3,75.3,75.0,25.0,3.4,3,3.9,150,152.1
3,5,3,3,50,2.4,2,47.7,45.0,20.0,0.3,4,5.4,50,50.3
11,5,4,3,25,9.7,2,57.6,45.0,20.0,1.0,2,5.9,25,34.8
3,1,4,1,100,10.7,2,60.8,55.0,10.0,0.6,2,7.4,100,73.9
6,3,9,3,50,9.9,1,59.7,50.0,15.0,2.6,3,1.8,50,51.7
14,1,5,3,100,10.9,3,64.8,50.0,20.0,1.6,3,3.1,100,74.0
5,4,3,1,100,9.0,2,57.9,60.0,20.0,0.3,4,2.2,100,70.4
15,3,4,2,25,3.0,3,51.7,55.0,10.0,0.5,3,7.5,25,42.9
12,1,7,1,75,1.2,3,54.3,45.0,15.0,1.7,3,1.3,75,49.7
4,5,8,3,75,11.7,2,66.3,45.0,10.0,0.8,1,7.7,75,58.8
6,1,3,3,75,9.2,1,86.2,65.0,20.0,1.5,3,5.2,75,92.2
4,5,4,1,25,0.6,1,85.3,65.0,20.0,0.4,4,5.0,25,44.7
11,4,8,2,25,4.3,2,89.1,75.0,20.0,0.1,2,6.5,25,58.4
14,2,5,5,150,3.4,1,72.9,45.0,10.0,0.1,5,5.5,150,96.9
1,2,8,1,150,8.5,2,63.9,75.0,20.0,1.4,4,3.8,150,119.3
4,1,3,4,100,1.7,2,83.3,55.0,15.0,0.5,2,4.0,100,108.6
9,1,8,1,50,4.7,2,42.5,55.0,25.0,1.0,3,4.0,50,50.3
13,4,8,1,150,6.7,1,40.4,70.0,25.0,0.1,2,3.0,150,127.1
5,5,1,2,75,1.0,1,61.8,65.0,10.0,1.4,2,3.1,75,93.5
13,3,3,3,150,11.2,1,61.7,60.0,20.0,0.8,5,5.9,150,100.6
12,5,1,5,50,11.5,2,79.7,45.0,20.0,0.0,4,6.7,50,52.4
1,4,2,5,75,7.4,1,43.9,50.0,20.0,0.7,5,5.5,75,66.7
9,2,2,3,75,7.4,2,75.0,70.0,10.0,1.4,4,5.9,75,90.4
8,2,1,1,100,3.9,1,44.6,75.0,15.0,3.6,4,2.1,100,95.3
9,1,6,4,150,8.5,2,62.2,65.0,20.0,1.2,4,4.9,150,126.4
3,4,9,3,50,4.8,2,78.8,45.0,25.0,0.7,2,3.7,50,48.6
4,5,8,1,25,11.4,3,41.4,60.0,15.0,1.5,3,1.0,25,29.2
6,5,8,2,100,7.2,2,65.0,60.0,10.0,0.2,3,0.7,100,81.0
11,3,4,2,75,2.9,3,61.3,50.0,20.0,0.0,4,3.9,75,63.8
13,5,10,4,150,6.0,2,73.2,60.0,10.0,6.2,2,7.7,150,139.0
4,1,6,4,150,2.3,1,69.3,65.0,15.0,0.4,4,3.2,150,139.2
10,1,5,4,150,11.6,3,70.0,45.0,25.0,1.3,5,1.6,150,77.6
2,3,4,3,150,11.9,2,74.3,45.0,25.0,1.5,2,3.5,150,85.2
4,3,5,2,75,4.6,3,87.8,65.0,15.0,2.3,2,6.5,75,90.2
4,1,10,4,25,11.4,2,94.0,60.0,25.0,3.0,3,3.3,25,43.2
8,3,9,3,50,8.8,1,93.9,50.0,25.0,2.6,4,4.8,50,50.3
13,3,9,4,150,5.6,1,56.4,55.0,20.0,3.2,3,4.3,150,119.9
2,5,6,3,75,8.5,2,74.8,65.0,25.0,2.6,3,6.0,75,87.3
14,1,3,3,50,8.3,1,44.9,70.0,20.0,0.1,3,5.2,50,74.8
3,2,8,1,50,1.4,2,41.3,55.0,20.0,1.2,3,4.8,50,55.1
2,5,3,3,50,1.4,3,86.3,60.0,25.0,1.0,2,5.8,50,72.6
2,3,8,3,150,7.2,3,52.4,45.0,15.0,5.8,3,3.2,150,88.3
9,1,6,1,50,7.2,2,43.9,50.0,15.0,0.9,2,2.8,50,48.3
4,5,7,2,100,6.2,2,88.5,50.0,20.0,0.1,4,2.9,100,66.1
15,1,10,5,50,8.7,2,78.9,75.0,25.0,2.7,1,2.4,50,94.9
11,1,1,3,75,7.0,2,57.2,60.0,15.0,3.3,3,7.3,75,86.0
8,4,3,5,25,8.4,2,71.1,60.0,20.0,2.8,3,1.5,25,49.0
5,1,8,4,75,11.4,3,91.9,45.0,10.0,1.0,3,8.0,75,64.7
1,5,6,4,25,6.0,2,74.9,55.0,25.0,0.0,4,1.9,25,35.0
2,1,9,3,25,9.7,3,73.4,50.0,10.0,0.2,3,6.0,25,39.2
12,4,5,4,25,10.7,3,60.2,45.0,10.0,0.2,3,2.5,25,28.8
6,1,4,2,75,6.2,3,58.2,60.0,15.0,0.5,4,7.1,75,71.2
10,4,10,1,100,5.7,3,52.1,60.0,15.0,2.9,3,1.1,100,74.8
5,5,9,1,50,3.1,1,60.4,55.0,10.0,1.6,5,6.9,50,46.3
9,3,8,1,25,3.8,1,61.9,60.0,25.0,0.1,2,2.3,25,44.4
7,4,10,4,50,11.9,3,83.2,60.0,15.0,1.6,3,6.3,50,66.0
1,3,10,4,50,10.8,1,83.0,65.0,20.0,0.2,4,5.3,50,72.2
11,1,1,4,100,6.7,3,78.9,50.0,15.0,0.2,1,5.2,100,91.5
11,1,2,3,50,3.3,1,92.2,70.0,10.0,1.5,5,6.2,50,72.8
15,3,6,5,100,10.8,1,47.5,55.0,10.0,1.1,3,5.4,100,95.1
9,4,3,4,75,11.8,1,52.1,65.0,10.0,3.8,2,2.1,75,90.2
13,2,1,3,75,6.5,2,93.2,65.0,15.0,1.0,4,2.4,75,86.6
1,3,7,1,75,11.5,2,82.4,70.0,25.0,0.0,1,3.2,75,78.8
12,2,7,3,150,3.3,1,66.4,65.0,10.0,0.2,2,3.5,150,141.2
11,2,3,1,25,9.3,1,74.9,60.0,10.0,0.0,1,3.8,25,41.6
13,4,4,5,75,5.3,1,53.2,50.0,15.0,3.8,2,4.3,75,79.1
11,1,9,5,50,11.5,2,87.7,65.0,10.0,4.5,3,3.8,50,77.2
10,3,3,5,100,5.4,3,92.1,65.0,10.0,2.2,4,7.2,100,128.9
2,4,8,1,75,7.3,2,51.4,45.0,20.0,0.1,5,4.3,75,49.1
8,5,4,2,150,9.4,2,85.4,50.0,10.0,0.9,1,2.7,150,95.4
13,5,5,1,25,7.3,2,59.9,45.0,15.0,0.3,2,0.6,25,30.6
6,4,6,3,100,9.0,1,81.7,50.0,15.0,3.4,4,2.4,100,70.3
3,1,6,4,150,6.7,1,60.9,75.0,20.0,2.1,1,2.5,150,166.7
10,1,1,4,100,7.8,3,81.7,70.0,10.0,1.1,3,3.3,100,116.0
9,2,8,3,25,1.9,2,80.1,70.0,10.0,0.5,4,2.0,25,47.9
4,5,3,1,25,8.9,3,63.9,45.0,10.0,0.7,2,6.4,25,26.3
4,2,1,3,75,10.1,2,78.7,70.0,15.0,0.9,2,5.8,75,96.2
1,3,5,1,150,8.8,2,46.5,70.0,20.0,4.6,2,7.1,150,126.8
