machine_age,runtime_hours,utilization,temperature,vibration,previous_failures,maintenance_gap,downtime_history,cycle_count,failure_occurred
5.1,3643.3,47.1,70.7,0.52,6,61.7,23.7,31153,0
1.0,728.0,68.9,63.7,0.87,1,92.8,2.3,6117,0
5.4,422.8,52.9,57.5,0.48,1,44.4,1.6,3440,0
1.3,3575.7,93.2,70.9,0.2,2,5.5,5.0,30523,0
7.6,2923.1,63.6,65.8,0.18,1,49.8,2.9,24647,0
6.0,2395.7,51.0,65.4,1.17,1,88.0,2.7,19877,0
7.5,3164.2,72.2,62.7,1.49,3,36.9,10.6,26890,0
4.4,458.4,81.2,48.6,0.09,1,71.6,2.7,3425,0
4.0,3703.0,71.5,55.4,2.58,2,45.3,6.4,31070,0
8.5,1856.6,97.2,72.1,0.11,2,92.4,3.6,16176,0
2.7,3626.3,67.8,60.8,3.43,1,63.5,2.0,30735,1
0.7,1005.2,73.4,77.0,1.18,1,66.7,3.3,8401,0
6.0,2909.5,59.7,63.6,0.84,3,43.7,5.2,24620,1
8.1,2202.8,90.0,66.2,0.11,1,39.8,3.5,18610,0
1.1,502.1,85.3,82.0,2.06,0,17.9,0.0,4488,0
1.2,246.0,60.3,60.9,0.02,1,15.9,1.8,2487,0
8.4,1514.1,80.9,70.0,0.25,0,88.8,0.0,13297,0
3.3,1722.5,82.4,52.5,1.5,1,68.7,2.3,14321,0
4.8,720.6,55.7,48.6,0.69,0,5.4,0.0,6568,0
9.0,2759.9,48.6,48.5,0.23,4,9.4,7.9,23025,0
4.0,649.1,53.8,45.3,1.13,3,13.9,10.9,5524,0
2.3,3349.7,94.0,58.3,1.82,0,85.6,0.0,28723,1
7.3,724.2,56.8,49.1,1.95,1,64.0,3.8,5816,0
3.4,1946.5,60.2,70.2,0.79,0,93.3,0.0,16546,0
5.1,1644.4,64.1,47.4,0.36,2,7.9,4.2,14457,0
5.6,3731.1,68.6,62.2,7.36,1,62.4,2.4,31841,1
5.8,1247.8,47.7,71.0,0.24,0,31.1,0.0,10279,0
4.9,2919.2,50.8,83.6,0.56,2,22.8,3.6,24546,0
4.4,2304.3,51.5,70.9,0.04,1,76.3,3.3,19988,0
4.4,901.1,64.7,71.3,1.33,0,69.3,0.0,7987,0
8.2,3995.0,93.7,71.3,1.53,0,65.9,0.0,34443,0
2.8,2798.0,96.9,70.6,0.35,1,20.3,1.6,23619,0
0.9,1829.9,85.4,70.9,0.06,2,50.7,3.6,15926,0
5.8,803.3,55.9,64.0,8.68,2,19.8,5.5,6823,1
6.7,1574.8,54.9,72.2,2.33,2,87.3,7.6,13568,1
5.1,2591.0,97.7,46.1,9.97,1,90.8,3.0,22324,1
3.2,1960.3,52.8,74.5,0.07,0,16.3,0.0,17159,0
1.7,3677.2,91.7,61.2,0.06,3,94.2,4.8,30990,0
